"month","mean_forecast","lower_80","upper_80","lower_95","upper_95"
"2026 Jan",7.02040157462204,3.97654815436521,10.3113356881493,2.73879992860346,12.3963955823322
"2026 Feb",5.82141219448579,3.03397650485825,8.86352298198064,1.94567887652381,10.8256204055046
"2026 Mar",7.11357417746788,4.04963535474374,10.4243043492256,2.80068601777478,12.5195488664582
"2026 Apr",8.22622463656442,4.94730169983785,11.7465455394885,3.57498953710819,13.9464117334086
"2026 May",7.14092758902284,4.06946492020433,10.4593864868174,2.81681503621525,12.5590290980794
"2026 Jun",5.85757436809249,3.05863505490297,8.91159873221845,1.96482037666404,10.8806089448989
"2026 Jul",5.97983126115514,3.1525868336703,9.06146507800449,2.04247476436832,11.0443318599713
"2026 Aug",6.74655581679729,3.75327899393908,9.98948848898049,2.5466717443454,12.0523278031822
"2026 Sep",7.57251559017229,4.41297817315086,10.9772766566127,3.11044526737516,13.1206192995813
"2026 Oct",9.23624051381343,5.77286704889471,12.9374230006275,4.29653019181294,15.2288536912142
"2026 Nov",10.9861270034445,7.23659497133899,14.9672823083399,5.5981762067698,17.3994025252774
"2026 Dec",9.99469803966557,6.40250645045868,13.8220140768926,4.85332464434857,16.1769950794001
