"model","mean_MASE","sd_MASE","min_MASE","max_MASE","mean_RMSE","n_folds"
"tbats",0.783155739077889,0.188861340058682,0.438782343637158,1.22971586683541,2.49490918715062,27
"arima_fourier",0.801130289743786,0.194062210985974,0.432916718008086,1.25854312122911,2.53763883056522,27
"ets_additive",0.811298255122446,0.187848637983612,0.463162745765615,1.21658390285881,2.56587320888032,27
"tslm_fourier",0.813990849827768,0.176042936905852,0.461660683575609,1.16661734807264,2.55664523835975,27
"seasonal_naive",0.984861616028658,0.328445463903432,0.482511907009924,1.65244079430396,3.17856807963171,27
