"family","variant","MASE","RMSE","MAE","MAPE","MASE_train","RMSE_train","lb_stat_12","lb_pvalue_12","lb_stat_24","lb_pvalue_24","passes_both_lags"
"ARIMA","arima_fourierK6",0.814258291064469,2.37090874882925,2.09617857271007,38.5680224705466,0.737317338420574,2.43456696692178,10.4955913327469,0.572567297280547,32.2248185865085,0.121514819481969,TRUE
"ARIMA","arima_fourierK4",0.84275486166294,2.42371021097985,2.16953846519105,39.4121032149907,0.738448272559997,2.43837313226371,10.7224438033412,0.55284313171018,31.627045293855,0.136513693521971,TRUE
"ARIMA","arima_seasonalonly",0.887078694862896,2.77531663046908,2.28364313005441,39.9957989284325,0.824443990041906,2.67546904920199,17.3087705712955,0.138346889822661,46.2092225914448,0.00417765123940528,FALSE
"ARIMA","arima_fourierK2",0.893445961249893,2.68380340788562,2.30003464551532,40.9995621598741,0.756591046994428,2.49707304014405,15.9964019591544,0.191400914531857,38.3723460539579,0.0317453002709936,FALSE
"ARIMA","arima_auto",0.990229018275659,2.98990311913952,2.54918724557491,45.5249133486026,0.824408624101426,2.70089409191628,14.5721935597786,0.265669311233422,52.7104757728283,0.00063154702171786,FALSE
"ETS","ets_auto",0.806972488684126,2.36286309023136,2.07742243230319,37.2900939503848,0.738137126730739,2.43577408696238,11.0842788311007,0.521710129783151,32.216280735908,0.121719318787501,TRUE
"ETS","ets_notrend",0.806972488684126,2.36286309023136,2.07742243230319,37.2900939503848,0.738137126730739,2.43577408696238,11.0842788311007,0.521710129783151,32.216280735908,0.121719318787501,TRUE
"ETS","ets_damped",0.824206584851475,2.41652780397468,2.12178887413431,38.4676995789793,0.739613936058976,2.43838733375219,11.1356207774704,0.517333147061919,32.0200929189504,0.126495180995337,TRUE
"ETS","ets_multseason",0.832068626777803,2.35662703418663,2.14202845167938,38.8972721789113,0.747160823993045,2.45446228081406,14.4212510950342,0.274620406326744,38.5096320445967,0.0307231635608154,FALSE
"STL","stl_notrobust",0.797055575379645,2.60582362230005,2.05189291494439,42.2811693957432,0.607658137689098,2.02713205412137,13.2464246251911,0.351386893066146,35.7757096904418,0.0576979982140813,TRUE
"STL","stl_arima",0.811425904331466,2.63138300700564,2.08888704317393,42.6932980431949,0.638386534458601,2.21681881810332,13.8326772436905,0.31152065225767,31.5366015495903,0.138905731287633,TRUE
"STL","stl_ets",0.734822833903377,2.46621834671494,1.89168461171297,37.841046879692,0.660137810248863,2.27269810195513,17.3705001984991,0.136183771888756,44.2845630805703,0.00706917994621148,FALSE
"STL","stl_rw",0.879140535185987,2.59765296852845,2.2632075994567,37.1675407933656,0.959161569548971,3.22370805828381,193.506166322222,0,258.249640253914,0,FALSE
"TSLM","tslm_trendseason",0.804766352357932,2.35351045672436,2.07174308491896,37.357735136739,0.735956138694161,2.41361396390344,11.4132433205044,0.493874408538095,31.7943588453693,0.132174642530486,TRUE
"TSLM","tslm_fourier",0.833492581806688,2.40732035388092,2.14569419761382,38.2343167732038,0.736157600174614,2.41737216158905,11.6321561415346,0.475655184577523,31.2184750178592,0.147582666151041,TRUE
"TSLM","tslm_seasononly",0.79781374298862,2.45465909266266,2.0538446969697,30.9602007591572,0.757097501573431,2.47127130901241,29.4019596839843,0.00343277165203859,51.6705429545441,0.000863568385350066,FALSE
"TSLM","tslm_fourier_nt",0.797813742988623,2.45465909266266,2.0538446969697,30.9602007591573,0.75709750157343,2.47127130901241,29.4019596839842,0.0034327716520387,51.6705429545439,0.000863568385350066,FALSE
