"family","variant","MASE_train","RMSE_train","mean_MASE_cv","mean_RMSE_cv","n_folds","mase_gap_pct","rmse_ratio","fit_flag","lb_pvalue_12","lb_pvalue_24"
"ARIMA","arima_fourierK4",0.738448272559997,2.43837313226371,0.800902070677423,2.51932506214642,30,0.077979319075304,1.03319915595016,"Acceptable",0.55284313171018,0.136513693521971
"ARIMA","arima_fourierK6",0.737317338420574,2.43456696692178,0.804395901414195,2.53093132034407,30,0.0833899860450446,1.03958172222477,"Acceptable",0.572567297280547,0.121514819481969
"ETS","ets_notrend",0.738137126730739,2.43577408696238,0.807950468466643,2.54062472556408,30,0.0864079475916366,1.04304612614237,"Acceptable",0.521710129783151,0.121719318787501
"ETS","ets_auto",0.738137126730739,2.43577408696238,0.812801503160781,2.55110536846799,30,0.0918605294646868,1.04734892374582,"Acceptable",0.521710129783151,0.121719318787501
"TSLM","tslm_fourier",0.736157600174614,2.41737216158905,0.811901691928818,2.53576564424911,30,0.0932921959729637,1.04897610907467,"Acceptable",0.475655184577523,0.147582666151041
"TSLM","tslm_trendseason",0.735956138694161,2.41361396390344,0.81154217476112,2.54687795549132,30,0.0931387652024471,1.05521346560838,"Acceptable",0.493874408538095,0.132174642530486
"ETS","ets_damped",0.739613936058976,2.43838733375219,0.818492383845402,2.57476351625309,30,0.0963704114335711,1.05592884305671,"Acceptable",0.517333147061919,0.126495180995337
"STL","stl_arima",0.638386534458601,2.21681881810332,0.825830722092643,2.60952154136849,30,0.226976525115294,1.17714696395493,"Acceptable",0.31152065225767,0.138905731287633
"STL","stl_notrobust",0.607658137689098,2.02713205412137,0.825762766522701,2.65108762213576,30,0.264125046170397,1.30780213195575,"Overfitting",0.351386893066146,0.0576979982140813
